STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,COMMODITY,Commodity,TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_STATUS,Observation Status,UNIT_MULT,Unit multiplier,UNIT_MEASURE,Unit of measure,BASE_PER,Base period,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,FM,"Micronesia, Federated State of",INF,Inflation rate,_T,Total,2020,,0.6,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,FM,"Micronesia, Federated State of",INF,Inflation rate,_T,Total,2021,,3.2,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,FM,"Micronesia, Federated State of",INF,Inflation rate,_T,Total,2022,,5.3,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,FM,"Micronesia, Federated State of",INF,Inflation rate,_T,Total,2023,,5.8,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,FM,"Micronesia, Federated State of",INF,Inflation rate,_T,Total,2024,,5.1,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PW,Palau,INF,Inflation rate,_T,Total,2018,,2.2,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PW,Palau,INF,Inflation rate,_T,Total,2019,,0.2,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PW,Palau,INF,Inflation rate,_T,Total,2020,,0.1,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PW,Palau,INF,Inflation rate,_T,Total,2021,,2,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PW,Palau,INF,Inflation rate,_T,Total,2022,,13.9,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PW,Palau,INF,Inflation rate,_T,Total,2023,,11.6,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PW,Palau,INF,Inflation rate,_T,Total,2024,,2.4,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PW,Palau,INF,Inflation rate,_T,Total,2025,,-0.4,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,FJ,Fiji,INF,Inflation rate,_T,Total,2018,,4.1,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,FJ,Fiji,INF,Inflation rate,_T,Total,2019,,1.8,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,FJ,Fiji,INF,Inflation rate,_T,Total,2020,,-2.6,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,FJ,Fiji,INF,Inflation rate,_T,Total,2021,,0.2,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,FJ,Fiji,INF,Inflation rate,_T,Total,2022,,4.3,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,FJ,Fiji,INF,Inflation rate,_T,Total,2023,,2.4,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,FJ,Fiji,INF,Inflation rate,_T,Total,2024,,4.5,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,FJ,Fiji,INF,Inflation rate,_T,Total,2025,,0.2,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PF,French Polynesia,INF,Inflation rate,_T,Total,2018,,1.2,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PF,French Polynesia,INF,Inflation rate,_T,Total,2019,,3.3,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PF,French Polynesia,INF,Inflation rate,_T,Total,2020,,6.4,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PF,French Polynesia,INF,Inflation rate,_T,Total,2021,,0.5,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PF,French Polynesia,INF,Inflation rate,_T,Total,2022,,-0.1,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PF,French Polynesia,INF,Inflation rate,_T,Total,2023,,0.3,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PF,French Polynesia,INF,Inflation rate,_T,Total,2024,,1.2,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,PF,French Polynesia,INF,Inflation rate,_T,Total,2025,,1.3,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,TK,Tokelau,INF,Inflation rate,_T,Total,2016,,-1.5,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,TK,Tokelau,INF,Inflation rate,_T,Total,2017,,3.8,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,TK,Tokelau,INF,Inflation rate,_T,Total,2018,,7.3,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,TK,Tokelau,INF,Inflation rate,_T,Total,2019,,6.5,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,TK,Tokelau,INF,Inflation rate,_T,Total,2020,,2.4,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,TK,Tokelau,INF,Inflation rate,_T,Total,2021,,2.9,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,TK,Tokelau,INF,Inflation rate,_T,Total,2022,,9.9,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,TK,Tokelau,INF,Inflation rate,_T,Total,2023,,10.9,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,TK,Tokelau,INF,Inflation rate,_T,Total,2024,,3.6,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,NC,New Caledonia,INF,Inflation rate,_T,Total,2016,,0.5,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,NC,New Caledonia,INF,Inflation rate,_T,Total,2017,,1.5,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,NC,New Caledonia,INF,Inflation rate,_T,Total,2018,,1.3,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,NC,New Caledonia,INF,Inflation rate,_T,Total,2019,,0.2,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,NC,New Caledonia,INF,Inflation rate,_T,Total,2020,,-0.5,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,NC,New Caledonia,INF,Inflation rate,_T,Total,2021,,0.6,,,,,,PERCENT,percent,,,,
