STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,COMMODITY,Commodity,TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_STATUS,Observation Status,UNIT_MULT,Unit multiplier,UNIT_MEASURE,Unit of measure,BASE_PER,Base period,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,SB,Solomon Islands,INF,Inflation rate,_T,Total,2016,,3.8,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,SB,Solomon Islands,INF,Inflation rate,_T,Total,2017,,3.3,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,SB,Solomon Islands,INF,Inflation rate,_T,Total,2018,,3.5,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,SB,Solomon Islands,INF,Inflation rate,_T,Total,2019,,2.2,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,SB,Solomon Islands,INF,Inflation rate,_T,Total,2020,,3,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,SB,Solomon Islands,INF,Inflation rate,_T,Total,2021,,0.1,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,SB,Solomon Islands,INF,Inflation rate,_T,Total,2022,,5.4,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,SB,Solomon Islands,INF,Inflation rate,_T,Total,2023,,5.1,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,SB,Solomon Islands,INF,Inflation rate,_T,Total,2024,,4.2,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,SB,Solomon Islands,INF,Inflation rate,_T,Total,2025,,3.4,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,AS,American Samoa,INF,Inflation rate,_T,Total,2021,,4.8,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,AS,American Samoa,INF,Inflation rate,_T,Total,2022,,11.7,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,AS,American Samoa,INF,Inflation rate,_T,Total,2023,,3.5,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,AS,American Samoa,INF,Inflation rate,_T,Total,2024,,1,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,TV,Tuvalu,INF,Inflation rate,_T,Total,2020,,1.5,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,TV,Tuvalu,INF,Inflation rate,_T,Total,2021,,6.7,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,TV,Tuvalu,INF,Inflation rate,_T,Total,2022,,12.2,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,TV,Tuvalu,INF,Inflation rate,_T,Total,2023,,6.8,,,,,,PERCENT,percent,,,,
DATAFLOW,SPC:DF_CPI(3.2),Consumer Price Index (Inflation rate and Index),I,A,Annual,TV,Tuvalu,INF,Inflation rate,_T,Total,2024,,0.4,,,,,,PERCENT,percent,,,,
